%	Motor: Torque	Motor: Torque	Motor: Torque	Motor: Torque	CTRL Speed controller: Actual speed	CTRL Speed controller: Actual speed	CTRL Speed controller: Actual speed	CTRL Speed controller: Actual speed	CTRL Position controller: Lag error	CTRL Position controller: Lag error	CTRL Position controller: Lag error	CTRL Position controller: Lag error	CTRL Position controller: Set position	CTRL Position controller: Set position	CTRL Position controller: Set position	CTRL Position controller: Set position	CTRL Two encoder control: Positions difference	CTRL Two encoder control: Positions difference	CTRL Two encoder control: Positions difference	CTRL Two encoder control: Positions difference
Zeit	MittelwertMotorTorque	StandardabweichungMotorTorque	minus3sigmaMotorTorque	plus3sigmaMotorTorque	MittelwertActualSpeed	StandardabweichungActualSpeed	minus3sigmaActualSpeed	plus3sigmaActualSpeed	MittelwertLagError	StandardabweichungMittelwertLagError	minus3sigmaMittelwertLagError	plus3sigmaMittelwertLagError	MittelwertSetPosition	StandardabweichungSetPosition	minus3sigmaSetPosition	plus3sigmaSetPosition	MittelwertPositionsDifference	StandardabweichungPositionsDifference	minus3sigmaPositionsDifference	plus3sigmaPositionsDifference
0.036799999	4.3E-07	7.47529E-07	-1.81259E-06	2.67259E-06	4.07976E-07	1.74414E-07	-1.15267E-07	9.3122E-07	0.002516472	0.000523555	0.000945805	0.004087138	0	0	0	0	-0.003070654	0.002650254	-0.011021415	0.004880107
0.037599999	4.89073E-07	6.76188E-07	-1.53949E-06	2.51764E-06	3.73916E-07	1.65368E-07	-1.22189E-07	8.7002E-07	0.00235063	0.00052335	0.000780581	0.003920679	0	0	0	0	-0.003075164	0.002597983	-0.010869114	0.004718786
0.038399999	4.11578E-07	6.96487E-07	-1.67788E-06	2.50104E-06	3.47803E-07	1.70795E-07	-1.64582E-07	8.60188E-07	0.002258502	0.000499203	0.000760892	0.003756111	0	0	0	0	-0.003017994	0.002678843	-0.011054524	0.005018536
0.039199999	4.01372E-07	7.56859E-07	-1.86921E-06	2.67195E-06	3.20437E-07	1.78843E-07	-2.16093E-07	8.56968E-07	0.002074244	0.000470706	0.000662127	0.003486362	0	0	0	0	-0.00306344	0.002638736	-0.010979647	0.004852767
0.039999999	4.00749E-07	7.04498E-07	-1.71275E-06	2.51424E-06	2.90429E-07	1.79355E-07	-2.47635E-07	8.28493E-07	0.001982116	0.000381304	0.000838204	0.003126028	0	0	0	0	-0.003029133	0.002631648	-0.010924077	0.00486581
0.040799999	4.66321E-07	6.35551E-07	-1.44033E-06	2.37297E-06	2.69218E-07	1.53425E-07	-1.91057E-07	7.29493E-07	0.001871563	0.000324394	0.00089838	0.002844747	0	0	0	0	-0.003024407	0.002637469	-0.010936814	0.004888
0.041599999	4.63244E-07	6.41507E-07	-1.46128E-06	2.38777E-06	2.5585E-07	1.32984E-07	-1.43101E-07	6.54801E-07	0.001816286	0.000335065	0.00081109	0.002821481	0	0	0	0	-0.002970333	0.002613145	-0.010809767	0.004869101
0.042399999	4.33634E-07	6.59777E-07	-1.5457E-06	2.41296E-06	2.45918E-07	1.32477E-07	-1.51512E-07	6.43348E-07	0.001761002	0.000431291	0.000467129	0.003054876	0	0	0	0	-0.002921218	0.002531042	-0.010514344	0.004671908
0.043199999	5.0963E-07	6.81611E-07	-1.5352E-06	2.55446E-06	2.46732E-07	1.21927E-07	-1.19048E-07	6.12512E-07	0.001595166	0.000474954	0.000170304	0.003020029	0	0	0	0	-0.002984331	0.002613037	-0.010823442	0.004854779
0.043999999	4.984E-07	7.39188E-07	-1.71917E-06	2.71597E-06	2.49018E-07	1.22369E-07	-1.18088E-07	6.16125E-07	0.001503032	0.000492503	2.55247E-05	0.00298054	0	0	0	0	-0.002971949	0.002707287	-0.011093809	0.00514991
