%	Polynom 5te Ordnung		kombinierte Traces									
Zeit	Geschwindigkeit	StandardabweichungGeschwindigkeit	Drehmoment	StandardabweichungDrehmoment	Position	StandardabweichungPosition	Schleppfehler	StandardabweichungSchleppfehler	Positionsdifferenz	StandardabweichungPositionsdifferenz	Stromstaerke	StandardabweichungStromstaerke
0.061199998	7.739402205	1.66638156	-16.5246352	1.79821022	30.53646462	0.058837593	-0.026281638	0.004952716	-0.004510748	0.007916669	-25.15820013	2.898185333
0.061599998	6.627176607	1.556510522	-15.45081877	1.843762813	30.56707345	0.052554241	-0.024050293	0.005148171	-0.005353266	0.007961032	-23.42383445	2.917446007
0.061999998	5.572231283	1.440339189	-14.33346737	1.866417888	30.59338962	0.046688563	-0.021747154	0.005287236	-0.006106087	0.007852708	-21.63926304	2.955659876
0.062399998	4.595879798	1.321697095	-13.16815406	1.886275534	30.61568466	0.041261948	-0.019288625	0.005251608	-0.00667082	0.007702132	-19.7707075	2.984696462
0.062799998	3.688826873	1.199358639	-11.95584408	1.924149429	30.63425139	0.036293751	-0.016901705	0.005117898	-0.007292339	0.007665384	-17.82684139	3.057240608
0.063199998	2.867595688	1.069666262	-10.68501628	1.967945725	30.64939686	0.03180696	-0.014549326	0.004825022	-0.007881747	0.007619595	-15.78770721	3.129920316
0.063599998	2.128781031	0.940984668	-9.376839993	2.005305829	30.66143634	0.027816428	-0.011949153	0.00471784	-0.008190312	0.007453413	-13.70435731	3.181798934
0.063999998	1.480608132	0.800082525	-8.033510323	2.044174872	30.67070905	0.024338873	-0.009473602	0.004560982	-0.008516461	0.007508004	-11.56183686	3.244408174
0.064399998	0.929408681	0.662996412	-6.638436281	2.074803241	30.6775684	0.021392083	-0.00713447	0.004405998	-0.008901214	0.007341975	-9.33153156	3.283086499
0.064799998	0.474474857	0.518967605	-5.230950948	2.08482774	30.68237791	0.018989057	-0.004679165	0.004308676	-0.009015509	0.007304636	-7.11367142	3.296417859
0.065199998	0.12551196	0.385288377	-3.805579436	2.115115092	30.68552616	0.017150107	-0.00241267	0.004088987	-0.009186814	0.007280612	-4.863197787	3.344180092
0.065599998	-0.122521788	0.259146917	-2.376201396	2.144210588	30.68740845	0.015891498	-0.000241885	0.004089139	-0.009260338	0.007109011	-2.620392471	3.3971555
0.065999998	-0.260786187	0.193473848	-0.954036704	2.17927249	30.6884358	0.015240549	0.001918306	0.004060283	-0.009177459	0.007044775	-0.38102397	3.454872297
0.066399998	-0.301471258	0.231861132	0.490919424	2.232377447	30.68904465	0.015238448	0.003941475	0.004164205	-0.009042793	0.006872527	1.908290129	3.573816444
0.066799998	-0.233782496	0.340702574	1.979475381	2.329646338	30.68966323	0.015912764	0.006074145	0.004209316	-0.008668073	0.006854546	4.307754904	3.737592445
0.067199998	-0.06744914	0.480528423	3.538681236	2.403950602	30.69073471	0.017262807	0.008120531	0.004222718	-0.008253458	0.006812843	6.793570991	3.848196124
0.067599998	0.206622267	0.627991576	5.139638286	2.439444584	30.69268619	0.019265119	0.01028218	0.004381676	-0.007621123	0.006828774	9.339623068	3.861399563
0.067999998	0.579977699	0.778520187	6.763986676	2.413011326	30.69593392	0.021898791	0.012725123	0.004362812	-0.006606757	0.006805403	11.90817403	3.760726977
0.068399998	1.062675866	0.931174826	8.388655747	2.321817702	30.7008762	0.025125305	0.014985747	0.004199003	-0.005648858	0.006873009	14.45673701	3.571503034
0.068799998	1.645644336	1.075700583	9.965763214	2.166484029	30.70789337	0.028914494	0.017179001	0.004017824	-0.004606928	0.006978993	16.88757119	3.275350307
0.069199998	2.333371633	1.215517675	11.4519169	1.97776028	30.71735681	0.033232039	0.019154576	0.003759991	-0.003568299	0.007185913	19.1555564	2.957276167
0.069599998	3.113983019	1.337281321	12.82879205	1.766203975	30.72961284	0.038055109	0.020746153	0.003608082	-0.002680301	0.007224401	21.23536241	2.611273711
0.069999998	3.981059902	1.449343704	14.07805192	1.56732089	30.7450014	0.043352757	0.022173753	0.003474184	-0.001677599	0.007200863	23.08542872	2.312435121
0.070399998	4.927228488	1.544916898	15.20341808	1.416272758	30.76383404	0.04910295	0.023143995	0.003145963	-0.000883209	0.007112174	24.73724694	2.12563022
0.070799998	5.939830481	1.630172393	16.21624326	1.285747379	30.78642415	0.055278462	0.024152284	0.00303696	0.000209116	0.00701989	26.28657128	2.035505221
0.071199998	7.016836924	1.705578406	17.14674819	1.191597229	30.81305523	0.061860883	0.024625757	0.003104084	0.000963267	0.006896474	27.72946279	1.994507522
0.071599998	8.146529712	1.778334957	18.01298826	1.129552927	30.84400065	0.068824894	0.025144723	0.002944905	0.001930621	0.006920867	29.08674364	2.023157306
0.071999998	9.330035789	1.84748936	18.75323494	1.035531839	30.87951997	0.076146591	0.025585338	0.002907212	0.002919713	0.007047534	30.40662253	2.046674709
0.072399998	10.56299225	1.919066008	19.41089144	0.925548704	30.91985964	0.083809657	0.026096562	0.00297377	0.0040515	0.007096802	31.70980461	2.022335716
0.072799998	11.84921489	1.99015864	19.98665525	0.834154295	30.9652493	0.091788283	0.026621648	0.003015097	0.005229697	0.006923284	32.90828215	1.96805514
0.073199998	13.18257055	2.063379931	20.49327712	0.801178952	31.01590437	0.100064939	0.027185368	0.003021597	0.006473511	0.00666201	34.08797451	1.885109003
0.073599998	14.5656969	2.135758693	20.97297339	0.778292219	31.07202941	0.108620819	0.027779682	0.002838896	0.007766886	0.006762911	35.20942336	1.8424163
0.073999998	15.99304353	2.201546961	21.43568589	0.771300046	31.13381218	0.117431702	0.02847857	0.003039505	0.009171948	0.006815357	36.30433834	1.829560301
0.074399998	17.46321239	2.262465623	21.8915498	0.7567327	31.20142656	0.126481576	0.028863974	0.003080071	0.010275324	0.006944872	37.38192958	1.801840689
0.074799998	18.96868691	2.315910965	22.35050792	0.731741922	31.27503638	0.13574757	0.029136504	0.002903413	0.011262885	0.007101044	38.46231356	1.725269876
0.075199998	20.51038174	2.368304201	22.78420613	0.654655683	31.35479273	0.145211352	0.030000776	0.00302989	0.012828541	0.006822272	39.46925519	1.48198175
0.075599998	22.08359247	2.414900694	23.17695726	0.568444809	31.44082986	0.154859027	0.030674371	0.002990478	0.014183828	0.007109955	40.36173907	1.284705273
0.075999998	23.69208605	2.457880072	23.51462334	0.537757395	31.53327007	0.164666898	0.03118557	0.003071331	0.015370884	0.007251781	41.0943979	1.312241008
0.076399998	25.33578319	2.493448504	23.77806813	0.563089456	31.63222967	0.174621803	0.031895079	0.002921481	0.016775981	0.007118743	41.63132103	1.424161452
0.076799998	27.01046686	2.531742702	24.00791254	0.557028912	31.73780778	0.184701028	0.032557955	0.003148576	0.018195191	0.00706401	42.16170734	1.347507991
0.077199998	28.70694953	2.568976642	24.28322104	0.461447173	31.85008741	0.19489066	0.033166266	0.003147898	0.019628239	0.006750156	42.8967808	1.068559875
0.077599998	30.4200104	2.601006192	24.57003216	0.43651215	31.96914822	0.205173384	0.033872686	0.002904047	0.021220998	0.006757208	43.54584885	1.173447894
0.077999998	32.1513155	2.627492987	24.7201629	0.453738976	32.09505754	0.215530816	0.034205904	0.002933245	0.022494667	0.006891568	43.71191922	1.170058447
0.078399998	33.89842755	2.650456024	24.71448517	0.373629803	32.22786398	0.225946374	0.034640638	0.002627237	0.0239539	0.006897512	43.5448025	1.004359728
0.078799998	35.64828738	2.662810904	24.81232239	0.336723248	32.36761205	0.23640886	0.034913033	0.002414727	0.025324626	0.0068754	44.00034527	0.905884941
0.079199998	37.40368368	2.66848488	25.01690958	0.372884266	32.51433466	0.24689534	0.035227101	0.002144242	0.026760098	0.007138837	44.50888263	1.293081147
