% Steigung p=10 	Trace: 	1-10788-38139-L-26.05.2015-P10
Zeit	Istpositionmm	StromstaerkeA
2.933999798	46.33119583	-0.803195059
2.934999798	46.2471962	-0.864120364
2.935999798	46.19117737	-1.011520386
2.936999798	46.10717773	-0.991856635
2.937999798	46.05117798	-0.951498687
2.938999797	45.96717834	-0.793359458
2.939999797	45.91117859	-0.857591808
2.940999797	45.82717896	-0.901208878
2.941999797	45.7711792	-0.978570521
2.942999797	45.68717957	-0.951776266
2.943999797	45.63117981	-0.852235079
2.944999797	45.54718018	-0.809171021
2.945999797	45.49118042	-0.711373627
2.946999797	45.40718079	-0.71924901
2.947999797	45.35118103	-0.778030813
2.948999797	45.2671814	-0.840933561
2.949999797	45.21118164	-0.811386049
2.950999797	45.12718201	-0.888173103
