%Seriennummer:	38207						
%Standardabweichung	0.126951651	0.038623982	0.022925159	0.156966364	1.04340932	1.285099895	1.52468485
%Mittelwert	0.803429949	0.852430369	0.931007972	0.76483879	22.78458695	22.90280642	23.24585232
Punkte:	StromLauf1	StromLauf2	StromLauf3	StromLauf4	Temperatursensor1	Temperatursensor2	Temperatursensor3
-23	0.8942384	0.8076992	0.9134694	0.865392	24.13883	24.53993	25.0413
-22	0.7884683	0.8365456	0.9327003	0.8076992	23.838	24.43965	25.14158
-21	0.8557765	0.8557765	0.9134694	0.8365456	23.838	24.43965	25.14158
-20	0.8076992	0.9519312	0.9134694	0.7788528	23.838	24.53993	25.24185
-19	0.8365456	0.8269302	0.9327003	0.7980838	23.93828	24.74048	25.24185
-18	0.3269259	0.8076992	0.9230848	0.7980838	24.13883	24.74048	25.24185
-17	0.8173147	0.9327003	0.9327003	0.7692373	24.03855	24.6402	25.24185
-16	0.8076992	0.8461611	0.9711621	0.4423115	23.93828	24.53993	25.34213
-15	0.7788528	0.8269302	0.9519312	0.8269302	23.93828	24.6402	25.34213
-14	0.8461611	0.8076992	0.9423158	0.8461611	24.03855	24.74048	25.34213
-13	0.7692373	0.8173147	0.9327003	0.7692373	24.13883	24.84075	25.34213
-12	0.7980838	0.9038539	0.9230848	0.8557765	24.13883	24.6402	25.4424
-11	0.7980838	0.8750075	0.9423158	0.8461611	23.93828	24.53993	25.4424
-10	0.2980795	0.8269302	0.9134694	0.7980838	23.93828	24.6402	25.4424
-9	0.8173147	0.8942384	0.9423158	0.7980838	24.03855	24.74048	25.4424
-8	0.8557765	0.7980838	0.9327003	0.4711579	24.13883	24.84075	25.54268
-7	0.8173147	0.8269302	0.9038539	0.8076992	24.03855	24.74048	25.54268
