Zeit1	Lauf1Units	Lauf1mm	Zeit2	Lauf2Units	Lauf2mm	Zeit3	Lauf3Units	Lauf3mm
0.290399986	1917524	36.5738678	0.193599995	2032281	38.76268387	0.193599995	2913280	55.56640625
0.291599986	1928010	36.77387238	0.194399995	2046262	39.02935028	0.194399995	2934252	55.96641541
0.292799986	1938496	36.97387695	0.195199995	2060243	39.29601669	0.195199995	2955223	56.36640549
0.293999985	1948982	37.17388153	0.195999995	2074224	39.56268311	0.195999995	2976195	56.76641464
0.295199985	1959467	37.37386703	0.196799995	2088205	39.82934952	0.196799995	2997166	57.16640472
0.296399985	1969953	37.57387161	0.197599995	2102186	40.09601593	0.197599995	3018138	57.56641388
0.297599985	1980439	37.77387619	0.198399995	2116167	40.36268234	0.198399995	3039109	57.96640396
0.298799985	1990925	37.97388077	0.199199995	2130148	40.62934875	0.199199995	3060081	58.36641312
0.299999985	2001410	38.17386627	0.199999995	2144129	40.89601517	0.199999995	3081052	58.7664032
0.301199985	2011896	38.37387085	0.200799995	2158110	41.16268158	0.200799995	3102024	59.16641235
0.302399985	2022382	38.57387543	0.201599995	2172091	41.42934799	0.201599995	3122995	59.56640244
0.303599985	2032868	38.77388	0.202399995	2186072	41.6960144	0.202399995	3143967	59.96641159
0.304799985	2043353	38.97386551	0.203199995	2200053	41.96268082	0.203199995	3164938	60.36640167
0.305999985	2053839	39.17387009	0.203999995	2214034	42.22934723	0.203999995	3185910	60.76641083
0.307199985	2064325	39.37387466	0.204799995	2228015	42.49601364	0.204799995	3206881	61.16640091
0.308399985	2074811	39.57387924	0.205599995	2241996	42.76268005	0.205599995	3227853	61.56641006
0.309599985	2085297	39.77388382	0.206399995	2255977	43.02934647	0.206399995	3248824	61.96640015
0.310799985	2095782	39.97386932	0.207199995	2269958	43.29601288	0.207199995	3269796	62.3664093
0.311999985	2106268	40.1738739	0.207999995	2283939	43.56267929	0.207999995	3290767	62.76639938
0.313199984	2116754	40.37387848	0.208799995	2297920	43.8293457	0.208799995	3311739	63.16640854
0.314399984	2127240	40.57388306	0.209599995	2311901	44.09601212	0.209599995	3332710	63.56639862
0.315599984	2137725	40.77386856	0.210399995	2325882	44.36267853	0.210399995	3353682	63.96640778
0.316799984	2148211	40.97387314	0.211199995	2339863	44.62934494	0.211199995	3374654	64.36641693
0.317999984	2158697	41.17387772	0.211999995	2353844	44.89601135	0.211999995	3395625	64.76640701
0.319199984	2169183	41.37388229	0.212799995	2367825	45.16267776	0.212799995	3416597	65.16641617
0.320399984	2179668	41.5738678	0.213599995	2381806	45.42934418	0.213599995	3437568	65.56640625
0.321599984	2190154	41.77387238	0.214399995	2395787	45.69601059	0.214399995	3458540	65.96641541
0.322799984	2200640	41.97387695	0.215199995	2409768	45.962677	0.215199995	3479511	66.36640549
0.323999984	2211126	42.17388153	0.215999995	2423749	46.22934341	0.215999995	3500483	66.76641464
0.325199984	2221611	42.37386703	0.216799995	2437730	46.49600983	0.216799995	3521454	67.16640472
0.326399984	2232097	42.57387161	0.217599995	2451711	46.76267624	0.217599995	3542426	67.56641388
0.327599984	2242583	42.77387619	0.218399994	2465692	47.02934265	0.218399994	3563397	67.96640396
0.328799984	2253069	42.97388077	0.219199994	2479673	47.29600906	0.219199994	3584369	68.36641312
0.329999984	2263554	43.17386627	0.219999994	2493654	47.56267548	0.219999994	3605340	68.7664032
0.331199984	2274040	43.37387085	0.220799994	2507635	47.82934189	0.220799994	3626312	69.16641235
0.332399984	2284526	43.57387543	0.221599994	2521616	48.0960083	0.221599994	3647283	69.56640244
0.333599983	2295012	43.77388	0.222399994	2535597	48.36267471	0.222399994	3668255	69.96641159
0.334799983	2305497	43.97386551	0.223199994	2549578	48.62934113	0.223199994	3689226	70.36640167
0.335999983	2315983	44.17387009	0.223999994	2563559	48.89600754	0.223999994	3710198	70.76641083
0.337199983	2326469	44.37387466	0.224799994	2577540	49.16267395	0.224799994	3731169	71.16640091
0.338399983	2336955	44.57387924	0.225599994	2591521	49.42934036	0.225599994	3752141	71.56641006
0.339599983	2347440	44.77386475	0.226399994	2605502	49.69600677	0.226399994	3773112	71.96640015
0.340799983	2357926	44.97386932	0.227199994	2619483	49.96267319	0.227199994	3794084	72.3664093
0.341999983	2368412	45.1738739	0.227999994	2633464	50.2293396	0.227999994	3815055	72.76639938
0.343199983	2378898	45.37387848	0.228799994	2647445	50.49600601	0.228799994	3836027	73.16640854
0.344399983	2389384	45.57388306	0.229599994	2661426	50.76267242	0.229599994	3856998	73.56639862
0.345599983	2399869	45.77386856	0.230399994	2675407	51.02933884	0.230399994	3877970	73.96640778
0.346799983	2410355	45.97387314	0.231199994	2689388	51.29600525	0.231199994	3898942	74.36641693
0.347999983	2420841	46.17387772	0.231999994	2703369	51.56267166	0.231999994	3919913	74.76640701
0.349199983	2431327	46.37388229	0.232799994	2717350	51.82933807	0.232799994	3940885	75.16641617
0.350399983	2441812	46.5738678	0.233599994	2731331	52.09600449	0.233599994	3961856	75.56640625
0.351599983	2452298	46.77387238	0.234399994	2745312	52.3626709	0.234399994	3982828	75.96641541
0.352799983	2462784	46.97387695	0.235199994	2759293	52.62933731	0.235199994	4003799	76.36640549
0.353999982	2473270	47.17388153	0.235999994	2773274	52.89600372	0.235999994	4024771	76.76641464
0.355199982	2483755	47.37386703	0.236799994	2787255	53.16267014	0.236799994	4045742	77.16640472
0.356399982	2494241	47.57387161	0.237599994	2801236	53.42933655	0.237599994	4066714	77.56641388
0.357599982	2504727	47.77387619	0.238399994	2815217	53.69600296	0.238399994	4087685	77.96640396
0.358799982	2515213	47.97388077	0.239199994	2829198	53.96266937	0.239199994	4108657	78.36641312
0.359999982	2525698	48.17386627	0.239999994	2843179	54.22933578	0.239999994	4129628	78.7664032
0.361199982	2536184	48.37387085	0.240799994	2857160	54.4960022	0.240799994	4150600	79.16641235
0.362399982	2546670	48.57387543	0.241599994	2871141	54.76266861	0.241599994	4171571	79.56640244
0.363599982	2557156	48.77388	0.242399994	2885122	55.02933502	0.242399994	4192543	79.96641159
0.364799982	2567641	48.97386551	0.243199994	2899103	55.29600143	0.243199994	4213514	80.36640167
0.365999982	2578127	49.17387009	0.243999994	2913084	55.56266785	0.243999994	4234486	80.76641083
0.367199982	2588613	49.37387466	0.244799994	2927065	55.82933426	0.244799994	4255457	81.16640091
