% 1-10788-38207-E-Lauf1	42213.47444				
Zeit	Drehmoment	Geschwindigkeit	Position	Schleppfehler	Positionsdifferenz
1.339199934	-0.800033569	-16.6434021	41.35881424	0.00042377	-0.020616502
1.340399934	-0.687763333	-16.66742706	41.15880966	-0.001334152	-0.022228807
1.341599934	-0.71526897	-16.70141602	40.95880508	-0.001138831	-0.022246689
1.342799934	-0.535494208	-16.69984436	40.75881958	0.001009735	-0.020564646
1.343999933	-0.561089635	-16.66436005	40.558815	0.002181679	-0.019539744
1.345199933	-0.646983206	-16.634161	40.35881042	0.001400379	-0.020067543
1.346399933	-0.771475911	-16.62671089	40.15880585	-0.000357395	-0.021389425
1.347599933	-0.857960105	-16.63226318	39.95882034	-0.001138696	-0.021705627
1.348799933	-0.913661182	-16.64554214	39.75881577	3.32482E-05	-0.020166934
1.349999933	-0.867596388	-16.66726875	39.55881119	0.001205192	-0.018907785
1.351199933	-0.67573899	-16.68998718	39.35880661	0.000423891	-0.019901097
1.352399933	-0.607128739	-16.68844604	39.15882111	-0.001333882	-0.021926314
1.353599933	-0.590102792	-16.68164825	38.95881653	-0.00113856	-0.02190426
1.354799933	-0.659173846	-16.67674065	38.75881195	0.001009856	-0.019893348
1.355999933	-0.756885886	-16.66120529	38.55880737	0.001205215	-0.019726418
1.357199933	-0.685277581	-16.64932251	38.35882187	0.000423971	-0.02039304
1.358399933	-0.786363721	-16.63460922	38.15881729	-0.00133384	-0.021819267
1.359599933	-0.89815253	-16.66885376	37.95881271	-0.002115197	-0.022415668
1.360799933	-0.693300366	-16.71693039	37.75880814	3.33693E-05	-0.020670444
1.361999933	-0.521777451	-16.71316147	37.55880356	0.001205015	-0.020128638
1.363199933	-0.418785304	-16.67395973	37.35881805	0.001400337	-0.020245165
1.364399932	-0.598623335	-16.6427803	37.15881348	-0.000357586	-0.021844059
1.365599932	-0.842373908	-16.63969421	36.9588089	-0.001138588	-0.022249967
1.366799932	-0.763896644	-16.65161133	36.75880432	0.001009977	-0.019884557
1.367999932	-0.765768826	-16.6313076	36.55881882	0.001205299	-0.019385666
1.369199932	-0.854842484	-16.62986946	36.35881424	0.000423701	-0.01967445
1.370399932	-0.786397159	-16.66681671	36.15880966	-0.002310546	-0.022209138
1.371599932	-0.736828506	-16.70654297	35.95880508	-0.001138304	-0.021352023
1.372799932	-0.512536705	-16.70692825	35.75881958	0.001009665	-0.019759089
1.373999932	-0.613761246	-16.67285538	35.558815	0.002181907	-0.018832833
1.375199932	-0.566454709	-16.63499069	35.35881042	0.001400309	-0.019428581
1.376399932	-0.796070099	-16.6349411	35.15880585	-0.001333938	-0.021734685
1.377599932	-0.854673266	-16.65897942	34.95882034	-0.001138616	-0.021334141
1.378799932	-0.76895684	-16.67458725	34.75881577	3.36254E-05	-0.020176917
1.379999932	-0.702332914	-16.68497849	34.55881119	0.001205271	-0.019166321
1.381199932	-0.544402301	-16.69674683	34.35880661	0.000424269	-0.020300299
1.382399932	-0.513906956	-16.68035507	34.15882111	-0.001333654	-0.022308677
1.383599931	-0.746543765	-16.67128372	33.95881653	-0.001138332	-0.022141486
1.384799931	-0.664195478	-16.66640854	33.75881195	0.001010234	-0.020021051
1.385999931	-0.744899452	-16.65509224	33.55880737	0.002181879	-0.018738061
1.387199931	-0.72829932	-16.63230896	33.35882187	0.001400877	-0.019231588
1.388399931	-0.796080291	-16.62122154	33.15881729	-0.001333966	-0.021474808
1.389599931	-0.923006117	-16.65453339	32.95881271	-0.002114968	-0.021881014
1.390799931	-0.703761876	-16.70740128	32.75880814	3.35975E-05	-0.019946843
1.391999931	-0.54371345	-16.71702385	32.55882263	0.001205541	-0.019392818
1.393199931	-0.408712268	-16.68684959	32.35881805	0.001400863	-0.019649118
1.394399931	-0.601183414	-16.65236282	32.15881348	-0.00035706	-0.021380037
1.395599931	-0.760478079	-16.65225601	31.9588089	-0.00113836	-0.021937042
1.396799931	-0.697710633	-16.66770744	31.75880432	0.001010206	-0.019711405
1.397999931	-0.650803745	-16.65275192	31.55881882	0.001205527	-0.019481331
1.399199931	-0.727439284	-16.64037323	31.35881424	0.001400849	-0.019014031
1.400399931	-0.712790489	-16.65468597	31.15880966	-0.001333696	-0.02149567
1.401599931	-0.729471087	-16.68622589	30.95880508	-0.001138374	-0.021409839
1.402799931	-0.552636981	-16.69260788	30.75881958	0.001010192	-0.019631237
1.40399993	-0.62764442	-16.6625061	30.558815	0.002182135	-0.018587261
1.40519993	-0.611614823	-16.63497734	30.35881042	0.001400835	-0.019094199
1.40639993	-0.842194557	-16.62099266	30.15880585	-0.000356939	-0.020307004
1.40759993	-0.873260677	-16.63806152	29.95882034	-0.001138239	-0.020651817
1.40879993	-0.884724379	-16.64849854	29.75881577	3.37046E-05	-0.019204319
1.40999993	-0.786415398	-16.67161942	29.55881119	0.001205648	-0.018003583
1.41119993	-0.660167396	-16.69084167	29.35880661	0.000424348	-0.018978417
1.41239993	-0.610497713	-16.68460274	29.15882111	-0.001333426	-0.02103284
1.41359993	-0.655949533	-16.68782806	28.95881653	-0.001138104	-0.021042973
1.41479993	-0.660625577	-16.68280983	28.75881195	3.37651E-05	-0.020086691
1.41599993	-0.730390131	-16.67505646	28.55880737	0.001205672	-0.019048713
1.41719993	-0.657091379	-16.65708542	28.35882187	0.000424427	-0.019831564
1.41839993	-0.713639081	-16.63965416	28.15881729	-0.001333384	-0.021350775
1.41959993	-0.871746719	-16.66009521	27.95881271	-0.00211474	-0.021862537
1.42079993	-0.705124438	-16.70220566	27.75880814	3.38256E-05	-0.019946843
1.42199993	-0.620580196	-16.71133804	27.55882263	0.001205471	-0.019300133
1.42319993	-0.434440672	-16.68304062	27.35881805	0.002377713	-0.018501133
1.424399929	-0.636598527	-16.64548111	27.15881348	-0.00035713	-0.021119863
1.425599929	-0.804237425	-16.63535309	26.9588089	-0.001138132	-0.021523684
1.426799929	-0.79568547	-16.6527977	26.75880432	0.001010434	-0.019142181
1.427999929	-0.748241007	-16.6441021	26.55881882	0.001205755	-0.018719584
1.429199929	-0.820879698	-16.63813019	26.35881424	0.001401077	-0.01815185
1.430399929	-0.828080893	-16.66450119	26.15880966	-0.00133317	-0.02067104
1.431599929	-0.762309432	-16.69660568	25.95880508	-0.001137848	-0.020706505
1.432799929	-0.581897199	-16.70485306	25.75881958	3.37977E-05	-0.020016283
1.433999929	-0.507678747	-16.68531036	25.558815	0.001205443	-0.019167811
1.435199929	-0.583388746	-16.67202759	25.35881042	0.001400765	-0.01910165
1.436399929	-0.638500273	-16.64595032	25.15880585	-0.001333482	-0.021699518
1.437599929	-0.799626112	-16.64616013	24.95882034	-0.00113816	-0.021218807
1.438799929	-0.788551629	-16.65999794	24.75881577	3.40817E-05	-0.019854754
1.439999929	-0.734193206	-16.67231941	24.55881119	0.001205727	-0.018712729
1.441199929	-0.619862556	-16.69000244	24.35880661	0.000424725	-0.019737035
1.442399929	-0.592362344	-16.68630981	24.15882111	-0.000356873	-0.020799488
1.443599929	-0.651035726	-16.66969299	23.95881653	-0.001137876	-0.021652132
1.444799928	-0.661642909	-16.65629578	23.75881195	0.00101069	-0.019439906
1.445999928	-0.701979995	-16.64536476	23.55880737	0.001206012	-0.019109696
1.447199928	-0.75990057	-16.63325882	23.35882187	0.000424413	-0.019539744
1.448399928	-0.841399372	-16.6348381	23.15881729	-0.002309834	-0.021850616
1.449599928	-0.882201016	-16.67110825	22.95881271	-0.002114512	-0.02146855
1.450799928	-0.809511602	-16.71051407	22.75880814	-0.000942568	-0.020643026
1.451999928	-0.59668833	-16.72661591	22.55882263	0.000229375	-0.020144433
1.453199928	-0.46031034	-16.69931412	22.35881805	0.000424697	-0.020538718
1.454399928	-0.552179277	-16.67137909	22.15881348	-0.000356603	-0.021509975
1.455599928	-0.732767701	-16.66461182	21.9588089	-0.000161282	-0.021273941
1.456799928	-0.688276947	-16.66389084	21.75880432	0.001010662	-0.020098835
1.457999928	-0.701610208	-16.64746475	21.55881882	0.001205984	-0.019765049
1.459199928	-0.748635292	-16.63587952	21.35881424	0.001401305	-0.019237548
1.460399928	-0.789172709	-16.64869881	21.15880966	-0.001333239	-0.021636337
1.461599928	-0.803806901	-16.68313599	20.95880508	-0.001137918	-0.021442026
1.462799928	-0.569440544	-16.69598198	20.75881958	0.001010648	-0.019659251
1.463999928	-0.558742583	-16.6733284	20.558815	0.00120597	-0.019711703
