%	3-10788-38173-A-andereRichtung				
Zeit	Drehmoment	Geschwindigkeit	Position	Lag_error	Position_difference
0.345599991	-0.000113435	0.000739738	60	-7.59959E-06	0.015681684
0.346399991	-0.002535882	-0.006556843	60	-7.59959E-06	0.01565367
0.347199991	0.001244988	-0.008540248	60	-7.59959E-06	0.015580356
0.347999991	0.005611029	-0.005842304	60	-7.59959E-06	0.015521348
0.348799991	0.000185637	-0.000579348	60	-7.59959E-06	0.015499294
0.349599991	-0.000269682	0.003968478	60	-7.59959E-06	0.015520751
0.350399991	-0.006683045	-0.000552908	60	-7.59959E-06	0.015538037
0.351199991	0.628616154	0.015211194	60.00045776	0.000437059	0.015541017
0.351999991	2.30926609	0.177566707	60.00267029	0.002660353	0.016258061
0.352799991	4.292844772	0.550082207	60.00810623	0.005155473	0.016353875
0.353599991	6.337108135	1.175222397	60.01815796	0.009345328	0.01772806
0.354399991	8.190473557	2.060837746	60.03425598	0.012746635	0.018592775
0.355199991	9.645677567	3.167689323	60.05781174	0.015805832	0.019877702
0.355999991	10.88619709	4.44755888	60.09027481	0.017992432	0.021164864
0.356799991	12.02120018	5.876394272	60.13305664	0.018776397	0.021732748
0.357599991	13.20605755	7.450737	60.18756866	0.019580638	0.022731721
0.358399991	14.44651031	9.182710648	60.25524139	0.020851595	0.024420321
0.359199991	15.730093	11.07176876	60.33750534	0.024011869	0.028028488
0.359999991	17.12289429	13.16598129	60.43577194	0.024625242	0.029172897
0.360799991	18.56928062	15.43139458	60.55147171	0.026067712	0.031417757
0.361599991	19.81901932	17.81941795	60.68603516	0.026832328	0.032859594
0.362399991	20.8514595	20.37096786	60.84085464	0.029318756	0.035633892
0.363199991	21.61183929	23.11774826	61.01737976	0.030067111	0.036349148
0.363999991	23.14521217	26.02450943	61.21704102	0.032453542	0.038366467
0.364799991	24.19230461	29.16127014	61.44123077	0.03692402	0.042207986
0.365599991	25.20137787	32.5241127	61.69139862	0.040995283	0.046050698
0.366399991	26.3159771	36.04545593	61.96895599	0.042183939	0.04721716
0.367199991	26.779562	39.67026138	62.27487564	0.045371661	0.051034242
0.367999991	26.20767021	43.31693649	62.60925293	0.048694024	0.055506676
0.368799991	26.98305511	46.88264847	62.97208786	0.048244558	0.056604594
0.369599991	26.51138306	50.52650452	63.36338043	0.050859284	0.061212927
0.370399991	26.38203812	54.17067337	63.78311157	0.050679119	0.063726455
0.371199991	26.04916	57.75641632	64.23122406	0.048591718	0.064798743
0.371999991	25.26645088	61.21924973	64.70672607	0.048501045	0.068609864
0.372799991	24.25801086	64.53990173	65.2081871	0.045078322	0.070305318
0.373599991	22.95304871	67.67197418	65.73417664	0.041783433	0.073112696
0.374399991	21.77562332	70.50675201	66.28330231	0.037194062	0.075259954
0.375199991	20.63881493	73.17590332	66.85411453	0.033792015	0.078438371
0.375999991	19.64233398	75.6091156	67.44522095	0.027226619	0.078509301
0.37679999	18.4220295	77.83254242	68.05515289	0.02193287	0.079173595
0.37759999	17.12024498	79.83759308	68.68251801	0.018441342	0.081090704
0.37839999	15.96052265	81.66397095	69.32588577	0.016305987	0.083468407
0.37919999	14.87579155	83.28447723	69.98384476	0.011173934	0.082047284
0.37999999	13.65912628	84.77310181	70.65496445	0.010411534	0.084221512
0.38079999	12.27233791	86.12158203	71.33781433	0.009666122	0.08588627
0.38159999	11.26023865	87.26302338	72.0309639	0.007514935	0.085625499
0.38239999	10.13137627	88.27406311	72.73302078	0.007417332	0.087028593
0.38319999	8.968845367	89.08944702	73.4425354	0.006974638	0.08753255
0.38399999	7.418172836	89.75840759	74.15790558	0.005540531	0.087124854
0.38479999	5.199980736	90.15216827	74.87659454	0.005487371	0.088721365
0.38559999	2.721674204	90.18023682	75.59577942	0.002015531	0.087780505
0.38639999	-0.14040862	89.79750824	76.31261826	-0.000884775	0.088075548
0.38719999	-2.776361942	89.02618408	77.02432632	-0.006945115	0.085117072
0.38799999	-4.849530697	87.86250305	77.7290535	-0.009242706	0.084799081
0.38879999	-6.301338673	86.53410339	78.42538834	-0.011152811	0.082855709
0.38959999	-7.327955723	84.99378204	79.11190033	-0.012146048	0.080069453
0.39039999	-8.744179726	83.33181763	79.78715897	-0.008762255	0.079985857
0.39119999	-9.537187576	81.60638428	80.44973373	-0.005353987	0.07887423
0.39199999	-10.792943	79.80157471	81.09823227	-0.004320741	0.075452179
0.39279999	-11.73562813	77.88874817	81.73120499	-0.001225965	0.074524134
0.39359999	-13.26528549	75.85908508	82.34725952	0.000554267	0.073504001
0.39439999	-14.82054329	73.63134766	82.94492722	-0.002356134	0.069068223
0.39519999	-16.36102295	71.24219513	83.5228157	-0.001614811	0.069275051
0.39599999	-18.16238022	68.66316223	84.07949448	-0.006456394	0.065133721
0.39679999	-20.00137329	65.82281494	84.61355209	-0.009515136	0.063526779
0.39759999	-21.0356884	62.81494522	85.12353897	-0.015143473	0.059688836
0.39839999	-22.65160179	59.64405823	85.60806274	-0.018905206	0.058351308
0.39919999	-23.99042511	56.22094727	86.0656929	-0.027106032	0.052802712
0.39999999	-24.54347801	52.60750198	86.49518967	-0.030225571	0.051869601
0.40079999	-24.35112	48.96414566	86.89622879	-0.036409618	0.047164112
0.40159999	-25.38029671	45.34103394	87.26881027	-0.038821539	0.045820326
0.40239999	-24.85643196	41.66352844	87.61295319	-0.043321643	0.041357726
0.40319999	-24.88626671	37.96096802	87.92861938	-0.04697978	0.036805719
0.40399999	-24.74776459	34.37779617	88.21586609	-0.046838359	0.03523441
0.40479999	-23.71739197	30.86230278	88.47530365	-0.047170813	0.032730475
0.40559999	-22.64050484	27.56280327	88.70828629	-0.047591962	0.029415488
0.40639999	-21.86601257	24.40099335	88.91622543	-0.046678833	0.027068108
0.40719999	-20.4458828	21.32378006	89.10057068	-0.045938338	0.023041368
0.40799999	-19.03177261	18.57364082	89.26271439	-0.039064651	0.024232194
0.40879999	-17.32071495	16.03359032	89.40408707	-0.034400425	0.023276508
0.40959999	-15.60192871	13.6809845	89.52613831	-0.029546353	0.02241075
0.41039999	-13.75793362	11.53516197	89.63026047	-0.026985793	0.019328445
0.41119999	-12.2841301	9.65739727	89.71788406	-0.022365968	0.018978566
0.41199999	-11.12172413	7.94854641	89.79043961	-0.018170314	0.019196719
0.41279999	-10.0095005	6.415730476	89.84933853	-0.015905636	0.018291175
0.41359999	-8.984749794	5.023779869	89.89603043	-0.015125499	0.016642064
0.41439999	-7.945744514	3.778320074	89.93190765	-0.013430521	0.016263574
0.41519999	-6.701657295	2.6677351	89.95840073	-0.012327365	0.015371144
0.415999989	-5.341192245	1.742335677	89.97692108	-0.010393419	0.015256703
0.416799989	-3.972420931	1.001298547	89.98893738	-0.009135044	0.01453951
0.417599989	-2.653077841	0.452879816	89.99582291	-0.007129632	0.014686137
0.418399989	-1.393921018	0.091048189	89.99900818	-0.004907368	0.015334338
0.419199989	-0.258285224	-0.091399863	89.99994278	-0.003974914	0.014906973
0.419999989	0.778449237	-0.083766639	90	-0.002937317	0.014999658
0.420799989	1.000598073	0.028757859	90	-0.002937317	0.01481846
0.421599989	0.627210557	0.124843702	90	-0.002937317	0.015592128
0.422399989	0.268884212	0.142006308	90	-0.003913939	0.015764683
0.423199989	0.103272639	0.121761002	90	-0.005867034	0.014877319
0.423999989	0.02395275	0.081547759	90	-0.005867034	0.015667677
0.424799989	0.101976231	0.041008532	90	-0.006843656	0.015136898
0.425599989	0.132052243	0.005738843	90	-0.006843656	0.015288293
0.426399989	0.227047846	-0.014291027	90	-0.006843656	0.015210211
0.427199989	0.304225802	-0.01377338	90	-0.006843656	0.015083849
0.427999989	0.249108598	-0.002499964	90	-0.006843656	0.015031993
0.428799989	0.207293451	0.002842611	90	-0.006843656	0.015051067
0.429599989	0.176609218	-0.00243004	90	-0.006843656	0.015055835
0.430399989	0.170793951	-0.007267182	90	-0.006843656	0.015006363
0.431199989	0.142879069	-0.010382097	90	-0.006843656	0.014930665
0.431999989	0.108586572	-0.012150715	90	-0.006843656	0.014835298
0.432799989	0.11811386	-0.013229829	90	-0.006843656	0.014725626
0.433599989	0.092756137	-0.011509134	90	-0.005867034	0.015596747
0.434399989	0.119218722	-0.008710069	90	-0.006843656	0.014535487
0.435199989	0.068220668	-0.004102032	90	-0.006843656	0.014488399
0.435999989	0.024649203	-0.00378609	90	-0.006843656	0.014462173
0.436799989	-0.002080247	-0.008069053	90	-0.006843656	0.014416873
0.437599989	-0.001785792	-0.013663904	90	-0.006843656	0.014326274
0.438399989	-0.005154495	-0.021091633	90	-0.006843656	0.014180839
0.439199989	-0.000602083	-0.027609464	90	-0.005867034	0.014953613
0.439999989	-0.00068739	-0.029227547	90	-0.005867034	0.014720559
0.440799989	-0.000268005	-0.028155211	90	-0.005867034	0.014492273
0.441599989	-0.000658949	-0.025135897	90	-0.005867034	0.014282465
0.442399989	-0.000511861	-0.024015868	90	-0.005867034	0.014089346
0.443199989	0.00080608	-0.023778228	90	-0.004890412	0.014875233
0.443999989	3.58196E-05	-0.023009004	90	-0.004890412	0.014687479
0.444799989	-0.00044577	-0.021526691	90	-0.004890412	0.014510453
0.445599989	-0.000280424	-0.020148821	90	-0.004890412	0.014344156
0.446399989	-0.000305715	-0.020891581	90	-0.004890412	0.014187396
0.447199989	-0.02205025	-0.029999772	90	-0.004890412	0.01398176
0.447999989	-0.038705606	-0.039593548	90	-0.003913939	0.014666766
0.448799989	-0.003533148	-0.046386458	90	-0.003913939	0.014309734
0.449599989	-0.000626579	-0.04925108	90	-0.003913939	0.013918132
0.450399989	-0.000321628	-0.04773511	90	-0.002937317	0.014501363
0.451199989	-0.000289521	-0.040618189	90	-0.002937317	0.014148504
0.451999989	-0.000580406	-0.031828731	90	-0.002937317	0.013866574
0.452799989	-0.000423371	-0.022562211	90	-0.001960844	0.014635026
0.453599989	-0.00041338	-0.013815355	90	-0.001960844	0.014499128
0.454399989	0.002247002	-0.005659771	90	-0.001960844	0.014430583
0.455199989	0.001977624	0.000726598	90	-0.001960844	0.01442045
0.455999988	-0.002698828	0.002820754	90	-0.001960844	0.014445484
0.456799988	0.004046449	-8.44732E-05	90	-0.001960844	0.014458597
0.457599988	-0.00031713	-0.003013452	90	-0.001960844	0.014442503
0.458399988	-0.000617333	-0.003559728	90	-0.001960844	0.014412701
0.459199988	-0.0006495	-0.002681175	90	-0.001960844	0.014388263
0.459999988	-0.000287484	-0.001834641	90	-0.001960844	0.014373958
0.460799988	-0.027491173	-0.007881895	90	-0.001960844	0.014338195
0.461599988	-0.022858204	-0.017470628	90	-0.001960844	0.014225543
0.462399988	-0.003185143	-0.023732366	90	-0.000984222	0.015023947
0.463199988	-0.000571567	-0.024999168	90	-0.001960844	0.013847053
0.463999988	-0.000445238	-0.022601025	90	-0.000984222	0.014631748
