%	Motor: Torque	Motor: Torque	Motor: Torque	Motor: Torque	CTRL Speed controller: Actual speed	CTRL Speed controller: Actual speed	CTRL Speed controller: Actual speed	CTRL Speed controller: Actual speed	CTRL Position controller: Set position	CTRL Position controller: Set position	CTRL Position controller: Set position	CTRL Position controller: Set position	CTRL Position controller: Lag error	CTRL Position controller: Lag error	CTRL Position controller: Lag error	CTRL Position controller: Lag error	CTRL Two encoder control: Positions difference	CTRL Two encoder control: Positions difference	CTRL Two encoder control: Positions difference	CTRL Two encoder control: Positions difference	CTRL Current controller: Actual stator current quadrature component	CTRL Current controller: Actual stator current quadrature component	CTRL Current controller: Actual stator current quadrature component	CTRL Current controller: Actual stator current quadrature component
Zeit	MittelwertMotorTorque	StandardabweichungMotorTorque	minus3sigmaMotorTorque	plus3sigmaMotorTorque	MittelwertActualSpeed	StandardabweichungActualSpeed	minus3sigmaActualSpeed	plus3sigmaActualSpeed	MittelwertSetPosition	StandardabweichungSetPosition	minus3sigmaSetPosition	plus3sigmaSetPosition	MittelwertLagError	StandardabweichungMittelwertLagError	minus3sigmaMittelwertLagError	plus3sigmaMittelwertLagError	MittelwertPositionsDifference	StandardabweichungPositionsDifference	minus3sigmaPositionsDifference	plus3sigmaPositionsDifference	MittelwertStatorCurrent	StandardabweichungStatorCurrent	minus3sigmaStatorCurrent	plus3sigmaStatorCurrent
0.0188	0.000464507	8.50445E-06	0.000438993	0.00049002	0.000977646	4.63389E-05	0.000838629	0.001116662	3.208532333	0.310620306	2.276671416	4.14039325	0.041553982	0.002623976	0.033682053	0.049425912	0.038608971	0.005215614	0.022962128	0.054255813	0.000811539	2.70438E-05	0.000730408	0.000892671
0.0192	0.000461053	6.83957E-06	0.000440534	0.000481572	0.001010532	4.57911E-05	0.000873158	0.001147905	3.41678683	0.320154731	2.456322638	4.377251021	0.04146096	0.002690597	0.033389169	0.049532752	0.04048225	0.005111871	0.025146637	0.055817864	0.000801925	1.8555E-05	0.00074626	0.000857589
0.0196	0.000456948	7.4591E-06	0.00043457	0.000479325	0.001043172	4.53706E-05	0.00090706	0.001179283	3.63179938	0.329582223	2.643052711	4.620546049	0.040539825	0.002963959	0.03164795	0.049431701	0.041611545	0.005493379	0.025131409	0.05809168	0.000792019	2.40144E-05	0.000719976	0.000864062
0.019999999	0.000453156	8.25745E-06	0.000428384	0.000477928	0.001075388	4.47203E-05	0.000941227	0.001209549	3.853498459	0.338897114	2.836807116	4.870189802	0.039598165	0.002627278	0.031716329	0.04748	0.04284776	0.00548854	0.026382139	0.059313381	0.000782582	2.26491E-05	0.000714635	0.000850529
0.020399999	0.000446873	8.29559E-06	0.000421986	0.00047176	0.00110723	4.40014E-05	0.000975225	0.001239234	4.081803322	0.348083895	3.037551636	5.126055008	0.03878445	0.003055562	0.029617763	0.047951137	0.044288414	0.005196908	0.028697691	0.059879137	0.000764848	2.49103E-05	0.000690118	0.000839579
0.020799999	0.000442186	9.27622E-06	0.000414357	0.000470014	0.00113839	4.32864E-05	0.00100853	0.001268249	4.316625913	0.357133656	3.245224944	5.388026882	0.037636786	0.003071629	0.028421899	0.046851673	0.045461091	0.005028222	0.030376426	0.060545756	0.00075643	2.64458E-05	0.000677092	0.000835767
0.021199999	0.000436385	8.55134E-06	0.000410731	0.000462039	0.001169269	4.25371E-05	0.001041658	0.00129688	4.557869275	0.366034004	3.459767262	5.655971288	0.036320462	0.003210545	0.026688827	0.045952097	0.046512065	0.005345009	0.030477039	0.062547091	0.000739448	2.1463E-05	0.000675059	0.000803837
0.021599999	0.000430381	8.84889E-06	0.000403834	0.000456928	0.001199422	4.17286E-05	0.001074237	0.001324608	4.805436134	0.374775767	3.681108835	5.929763434	0.035204612	0.003030714	0.026112471	0.044296754	0.047834131	0.00531519	0.031888559	0.063779702	0.000726835	2.50815E-05	0.000651591	0.00080208
0.021999999	0.000424326	9.36837E-06	0.00039622	0.000452431	0.001229249	4.09549E-05	0.001106384	0.001352114	5.059210777	0.383348544	3.909165145	6.20925641	0.034000238	0.003222246	0.024333502	0.043666975	0.049109958	0.005319822	0.033150492	0.065069424	0.000711156	2.48505E-05	0.000636605	0.000785708
0.022399999	0.000418065	9.53517E-06	0.00038946	0.000446671	0.001258319	3.99937E-05	0.001138338	0.0013783	5.319082578	0.391743313	4.143852639	6.494312517	0.032411067	0.003256419	0.022641809	0.042180325	0.050060473	0.004958505	0.035184959	0.064935988	0.000696912	2.58756E-05	0.000619285	0.000774539
